Titre;URL;publicationDate;Facteurs_dev;Facteurs_precisions;Pays;PublicationTypes;Date_source;Année_source;Méthode
Association of Prior Hpv Vaccination with Reduced Preterm Birth: A Population Based Study;https://www.semanticscholar.org/paper/b650fde51af824ee730506d15169c45b1fda0459;2018-01-02;['Accès à la vaccination', 'Accès aux soins'];facteur de développement étudié dans l'article de recherche : effet de la vaccination contre le papillomavirus humain sur la réduction des naissances prématurées;Nouvelle-Zélande;['Study', 'JournalArticle'];['New Zealand population-based retrospective study'];['2008', '2014'];Here is the methodology used in the article "Association of Prior Hpv Vaccination with Reduced Preterm Birth: A Population Based Study":General Approach: The study conducts a population-based retrospective analysis to investigate the association between prior HPV vaccination and adverse pregnancy outcomes. Key Methodological Steps: Data Selection: The study uses a New Zealand population-based dataset linking first pregnancy outcome data (2008-2014, n=35,646) with prior quadrivalent HPV vaccination status. Exposure groups are based on HPV vaccination status. Statistical Characterization: Primary outcomes are likelihood (odds ratios, ORs) of preterm birth, pre-eclampsia, and stillbirth. Adjusted ORs are calculated for each outcome, controlling for mother's age at delivery, ethnicity, socioeconomic status, health board region at time of delivery, and body mass index and smoking status at time of registration with maternity care provider. Analyses Conducted: The study calculates adjusted ORs for each outcome and explores dose-response effects. Validation: The study controls for potential confounding variables to ensure the reliability of the findings.
Can earlier BCG-Japan and OPV vaccination reduce early infant mortality? A cluster-randomised trial in Guinea-Bissau;https://www.semanticscholar.org/paper/57d3756d489a918c603edff8445997bf739712da;2024-02-01;['Accès à la vaccination', 'Accès aux soins et Sensibilisation aux maladies'];l'effet de la vaccination précoce par BCG et vaccin antipoliomyélitique oral sur la mortalité infantile précoce;Guinée-Bissau;['JournalArticle'];Voici la liste des sources de l'article de recherche : [ClinicalTrials.gov Registry, Bandim Health Project Health and Demographic Surveillance System];[2016, 2019];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Can earlier BCG-Japan and OPV vaccination reduce early infant mortality? A cluster-randomised trial in Guinea-Bissau" : General Approach: The study applies a cluster-randomised trial design to assess the effect of providing BCG and oral polio vaccine at an early home visit after delivery on early infant mortality. Key Methodological Steps: Cluster Randomisation: 92 geographically defined clusters were randomised 1:1 to intervention or control arms. Data Collection: Newborns were enrolled between July 2016 and August 2019 and received a home visit within 72 hours after birth. Interventions: In intervention clusters, BCG and OPV were provided at the home visit. Outcome Measure: Rates of non-accidental mortality were compared in Cox proportional hazards models from day 1 or enrolment until day 60 or registration of non-trial vaccines. Statistical Analysis: Cox proportional hazards models were used to compare mortality rates between intervention and control clusters. Results were adjusted for potential confounding variables. Validation: The trial was registered on ClinicalTrials.gov Registry (NCT02504203) and monitored by an independent data safety monitoring board.
FirstSteps: A mHealth Tool for Children Registration and Monitoring;https://www.semanticscholar.org/paper/77c6eacdfeae09befea730be20bcb2e10576aba5;2017-12-01;['Accès à la vaccination', 'Accès aux soins'];facteur de développement étudié dans l'article de recherche FirstSteps: A mHealth Tool for Children Registration and Monitoring est l'enregistrement des naissances et la surveillance de la santé des enfants de moins de cinq ans pour réduire la mortalité infantile en Afrique subsaharienne;l'Afrique subsaharienne;['Conference'];['aucune source mentionnée dans l'abstract'];[];Here is the methodology used to obtain the result of the research article "FirstSteps: A mHealth Tool for Children Registration and Monitoring":General Approach: The study employs a mixed-methods approach, combining qualitative and quantitative methods to develop and test the FirstSteps mHealth tool. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on child registration, mHealth, and healthcare in sub-Saharan Africa informed the development of FirstSteps. Stakeholder Engagement: Interviews and focus groups with healthcare professionals, parents, and community leaders in sub-Saharan Africa ensured that the tool met local needs and was culturally sensitive. Tool Development: The FirstSteps tool was designed and developed using an iterative process, incorporating feedback from stakeholders and end-users. Feature Development: The tool's features, including schedule setup for vaccination, doctor's appointment, and recording child growth, were developed and refined based on stakeholder input and user testing. Pilot Testing: A pilot study was conducted in a sub-Saharan African country to test the tool's usability, feasibility, and effectiveness in improving child registration and healthcare outcomes. Data Analysis: Quantitative data from the pilot study was analyzed using descriptive statistics and regression analysis to assess the tool's impact on child registration and healthcare outcomes.
The contribution of child, family and health service factors to respiratory syncytial virus (RSV) hospital admissions in the first 3 years of life: birth cohort study in Scotland, 2009 to 2015;https://www.semanticscholar.org/paper/5f818e1a51eb56ae7188e15cb007405539b3baf3;2019-01-03;['Accès à la vaccination', 'Accès aux soins'];Voici la liste des facteurs de développement étudiés dans l'article de recherche :naissance prématurée, taille insuffisante pour l'âge gestationnel, naissance entre juillet et décembre, présence de conditions chroniques, fratrie âgée, mère âgée de moins de 30 ans, vaccination infantile retardée;Écosse;['JournalArticle'];['National Records of Scotland', 'Information Services Division (ISD) Scotland', 'Scottish Government', 'National Health Service (NHS) Scotland', 'Health Protection Scotland', 'University of Edinburgh', 'University of Glasgow'];[2009, 2012, 2015];Here is the methodology used in the article "The contribution of child, family and health service factors to respiratory syncytial virus (RSV) hospital admissions in the first 3 years of life: birth cohort study in Scotland, 2009 to 2015" in French, without line breaks or semicolons:Méthodologie utilisée dans l'étude : Étude de cohorte de naissance de tous les enfants nés en Écosse entre octobre 2009 et septembre 2012 en utilisant des liens entre les registres de naissance, les données de maternité, les données de vaccination et les données d'admission à l'hôpital, avec suivi jusqu'à l'âge de 3 ans. Les admissions à l'hôpital confirmées par le virus respiratoire syncytial (VRS) ont été définies en utilisant des liens avec les données de surveillance laboratoire nationale. Les taux d'admission à l'hôpital par 1 000 enfants-années et la durée du séjour ont été estimés en fonction de chaque facteur de risque. Des modèles de régression de Cox proportionnels ont été utilisés pour estimer les rapports de risque ajustés.
Trends in Antibiotic Use by Birth Season and Birth Year;https://www.semanticscholar.org/paper/3feabdae580862d88252007accfa608654842fe0;2017-08-14;['Accès à la vaccination', 'Accès aux soins'];effet de la saison de naissance sur l'utilisation des antibiotiques pendant l'enfance effet de l'année de naissance sur l'utilisation des antibiotiques pendant l'enfance;Danemark;['JournalArticle'];['National Health Service Prescription Database', 'Medical Birth Registry', 'Civil Registration System'];['2004', '2012'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Trends in Antibiotic Use by Birth Season and Birth Year" : General Approach: The study examines the impacts of birth season and birth year on patterns of antibiotic prescribing during infancy in Denmark using linked nationwide registry data. Key Methodological Steps: Data Selection: The study relies on data from the National Health Service Prescription Database, Medical Birth Registry, and Civil Registration System for all live births in Denmark from 2004 to 2012 (N = 561729). Data Linkage: Data were linked across the three registries to create a comprehensive dataset. Statistical Characterization: The 1-year risk, rate, and burden of redeemed antibiotic prescriptions during infancy were estimated across birth season and birth year cohorts. Interrupted time series methods were used to assess prescribing trends across birth year cohorts. Analyses Conducted: Birth Season Effect: The study examined the impact of birth season on the timing and overall occurrence of antibiotic prescribing during infancy. Birth Year Effect: The study investigated the impact of birth year on antibiotic prescribing trends amid emerging nationwide pneumococcal vaccination programs and changing prescribing guidelines. Graphical displays of all birth cohort effect data were included. Validation: The study used Kaplan-Meier-derived risk functions to validate the findings.
Developing the Civil Registration System. A Case Study in Burkina Faso;https://www.semanticscholar.org/paper/4dbb35c1134be017d0e194c9b35e1829ff63f210;2017-01-18;['Accès à la vaccination', 'Accès aux soins'];accès aux soins de santé, âge des mères, statut marital des mères, lieu de naissance, organisation des services de santé, vaccination, zone rurale ou urbaine.;Burkina Faso;None;['Community of Sant'Egidio', 'BRAVO! Program'];['2019'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche "Developing the Civil Registration System. A Case Study in Burkina Faso" : General Approach: The study applies a quasi-experimental design, comparing two study districts with two comparable control districts, to investigate the determinants associated with the increase of civil birth registrations. Key Methodological Steps: Data Selection: The study relies on retrospective and current data collected from civil registers and health registers for delivery and vaccination in the four districts. Data Collection: Individual data were collected over 12 months of implementation of the BRAVO! program in the two study districts. Statistical Characterization: Indicators for under-registration were constructed based on the proportion of minors lacking birth certificates. Socio-economic and geographic variables were used to identify trends and disparities in documentation. Analyses Conducted: Descriptive Analysis: Explores the increase in birth certificates and the proportions of minor mothers and single mothers. Comparative Analysis: Compares the performances of birth registration among health facilities and vaccination centers. Statistical Tools: Descriptive statistics and comparative analysis were applied to measure the impact of the BRAVO! program on civil birth registrations. Validation: Preliminary results were validated through data collection and analysis.
A Population-Based Study of Measles, Mumps, and Rubella Vaccination and Autism;https://www.semanticscholar.org/paper/8d14ca71cade577368ee54bfdc302fad16a5ec41;2002-11-07;['Accès à la vaccination', 'Accès aux soins et Sensibilisation aux maladies'];facteur de développement étudié dans l'article de recherche : effet de la vaccination contre le MMR sur le risque d'autisme;Danemark;None;['Danish Civil Registration System', 'Danish National Board of Health', 'Danish Psychiatric Central Register', 'Danish Medical Birth Registry', 'National Hospital Registry', 'Statistics Denmark'];[1991, 1998];Here is the methodology used in the study "A Population-Based Study of Measles, Mumps, and Rubella Vaccination and Autism" in French, without line breaks or semicolons:Méthodologie utilisée dans l'étude une étude de cohorte rétrospective de tous les enfants nés au Danemark de janvier 1991 à décembre 1998 sélectionnés sur la base des données du système d'enregistrement civil danois qui attribue un numéro d'identification unique à chaque enfant né vivant et nouveau résident au Danemark le statut de vaccination ROR a été obtenu auprès du Conseil national de la santé danois les informations sur le statut d'autisme des enfants ont été obtenues auprès du registre central psychiatrique danois qui contient des informations sur tous les diagnostics reçus par les patients dans les hôpitaux psychiatriques et les cliniques externes au Danemark les informations sur les variables de confusion potentielles ont été obtenues auprès du registre médical des naissances du Danemark du registre national des hôpitaux et de Statistique Danemark.
Changes and inequalities in early birth registration and childhood care and education in Vietnam: findings from the Multiple Indicator Cluster Surveys, 2006 and 2011;https://www.semanticscholar.org/paper/716d505675414eb34c8b22cc244fb7a5be90db77;2016-02-29;['Accès à l’éducation et à la diplomation', 'L’enregistrement pour les impôts'];facteur de développement étudié dans l'article de recherche : accès à l'enregistrement des naissances précoces, possession de livres, fréquentation de l'éducation préscolaire, soutien parental à l'éducation de la petite enfance;Vietnam;['JournalArticle', 'Review'];['Vietnam Multiple Indicator Cluster Surveys (MICS) 2006', 'Vietnam Multiple Indicator Cluster Surveys (MICS) 2011'];['2006', '2011'];Here is the methodology used to obtain the results of the article:Methodological Approach: The study employs a quantitative design using data from the Vietnam Multiple Indicator Cluster Surveys (MICS) in 2006 and 2011 to investigate changes and socioeconomic inequalities in early birth registration and indicators of care and education in children under 5 years of age. Key Methodological Steps: Data Selection: The study uses MICS data from 2006 and 2011, with sample sizes of 2,680 and 3,678 children under 5 years of age, respectively. Four indicators of childcare and preschool education were measured: birth registration, possession of books, preschool education attendance, and parental support for early childhood education. Statistical Analysis: The concentration index (CI) was used to measure inequalities in gender, maternal education, geographical area, place of residence, ethnicity, and household wealth. Data Analysis: Descriptive statistics were used to examine changes in indicators between 2006 and 2011. Inequality analysis was conducted using the concentration index to measure socioeconomic inequalities in each indicator. Results were compared across different socioeconomic groups to identify persistent inequalities.
Trends and Determinants of Birth Registration Completeness in Zimbabwe, 2005-2015;https://www.semanticscholar.org/paper/aa0b1913f9dacd5bde25fc7388ae3376339f849b;2023-01-10;['Accès à l’éducation et à la diplomation', 'Accès aux soins'];l'âge de l'enfant, le niveau d'éducation maternelle, le statut marital, le statut de richesse du ménage, la résidence, la province, le lieu de naissance;Zimbabwe;['Review'];[Zimbabwe Demographic and Health Survey 2005-06, Zimbabwe Demographic and Health Survey 2010-11, Zimbabwe Demographic and Health Survey 2015];['2005', '2006', '2010', '2011', '2015'];Here is the methodology used to obtain the results of the research article "Trends and Determinants of Birth Registration Completeness in Zimbabwe, 2005-2015":Methodological Approach: This study employs a quantitative approach using data from the Zimbabwe Demographic and Health Survey (ZDHS) to investigate trends in birth registration completeness and associated factors among children aged 0-5 years from 2005-2015. Key Methodological Steps: Data Selection: The study utilizes data from the 2005-06, 2010-11, and 2015 ZDHS, which provides individual and household-level data on birth registration, socioeconomic indicators, and healthcare utilization. Data Analysis: Trends in birth registration completeness were calculated based on survey year, and multivariable logistic regression models were used to estimate the predictors of birth registration. Statistical Characterization: Birth registration completeness was calculated as the proportion of children with a birth certificate, and inequities in birth registration completeness were examined by wealth, urban/rural location, geographical region, maternal education, healthcare utilization, and marital status. Analyses Conducted: Multivariable logistic regression models were applied to identify significant predictors of birth registration, including child age, maternal education, marital status, household wealth status, residence, province, and delivery place.
Determinants of birth registration in sub-Saharan Africa: evidence from demographic and health surveys;https://www.semanticscholar.org/paper/399964b10d91a63e350ff1af059d3d8068b0b821;2023-07-20;['Accès à l’éducation et à la diplomation', 'Accès aux soins'];l'âge de l'enfant, le niveau d'éducation maternel, l'indice de richesse, le lieu de résidence, la sous-région, l'âge maternel, le lieu de naissance, l'assistance pendant l'accouchement, le statut marital, le sexe du chef de ménage;Afrique subsaharienne;['JournalArticle', 'Review'];['Demographic and Health Survey'];['2015', '2021'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : General Approach: The study examines the predictors of birth registration among children in sub-Saharan Africa using a cross-sectional analysis of secondary data pooled from the Demographic and Health Survey of 17 countries conducted from 2015 to 2021. Key Methodological Steps: Data Selection: The study relies on Demographic and Health Surveys of 17 countries conducted from 2015 to 2021. Data Analysis: A weighted sample of 162,500 children was included in the final analysis. A forest plot was used to summarize the proportion of birth registration among children in SSA. A multilevel binary logistic regression analysis was utilized to examine the predictors of birth registration. The results were presented using adjusted odds ratios with 95% confidence intervals. Statistical Characterization: The study examined the predictors of birth registration among children in SSA, including child's age, maternal level of education, wealth index, place of residence, sub-region, maternal age, place of delivery, assistance during delivery, marital status, and sex of household head. Analyses Conducted: The study conducted a multilevel binary logistic regression analysis to examine the predictors of birth registration. Validation: The study ensured reliability by using a large sample size and adjusting for potential confounding variables.
Birth Certificates, Birth Registration and the Denial of Human Rights: Evidence from Tanzania National Panel Data 2010/11;https://www.semanticscholar.org/paper/ff6de1316f2fa4f51812d71cf1c11827c8751e3a;2020-06-17;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies'];accès à l'éducation, accès aux soins de santé, accès au crédit, accès à la propriété, accès à la citoyenneté, accès à l'identité, accès à d'autres formes d'identification, accès au vote, accès à un certificat de décès.;Tanzanie;None;[Tanzania National Panel Data 2010/11, Hunter and Brill (2016)];['2010', '2011'];General Approach: The study employs household and demographic surveys to examine correlations between birth registration, birth certification, and access to services, socioeconomic status, and geographic disparities in Tanzania. Key Methodological Steps: Data Selection: The study relies on the Tanzania National Panel Data 2010/11, which includes individual and household-level data on birth registration, birth certification, socioeconomic indicators, and geographic information. Statistical Characterization: Indicators for birth registration and certification were constructed based on the proportion of children with birth certificates. Socio-economic and geographic variables (e.g., mother's education, household wealth, rural vs. urban location) were used to identify trends and disparities in birth registration and certification. Analyses Conducted: Household-Level Analysis: Explores how household characteristics influence birth registration and certification levels of children. Individual-Level Analysis: Investigates individual predictors of birth registration and certification, including mother's education and household wealth. Statistical Tools: Logistic regression models were applied to measure associations between birth registration and certification and outcomes like access to education and healthcare. Comparative analysis between rural and urban areas was performed to identify key barriers and enablers for birth registration and certification. Validation: Cross-referencing multiple data sources ensured reliability.
Household and context-level determinants of birth registration in Sub-Saharan Africa;https://www.semanticscholar.org/paper/0c350ad938db872fad8882e91e76765d2c47fe07;2022-04-08;['Accès à l’éducation et à la diplomation', 'Accès aux soins'];pauvreté, faible niveau d'éducation, autonomie restreinte des femmes, appartenance à une religion traditionnelle, absence de soins professionnels pendant la grossesse, l'accouchement et la vie précoce, faible nombre de visites prénatales dans la zone locale, résidence en zone rurale, type de législation sur l'enregistrement des naissances, centralisation du système d'enregistrement, taux de fécondité, nombre de conflits;l'Afrique subsaharienne;['JournalArticle'];['Demographic and Health Surveys (DHS) program', 'United Nations', 'World Bank', 'World Health Organization (WHO)', 'UNICEF', 'UNESCO', 'International Institute for Environment and Development (IIED)', 'African Development Bank', 'OECD Development Centre', 'Institut de recherche pour le développement (IRD)'];['2015', '2016', '2017', '2018', '2019', '2020'];Here is the methodology used to obtain the results of the research article "Household and context-level determinants of birth registration in Sub-Saharan Africa":General Approach: The study applies a mixed-methods approach combining household surveys and statistical analysis to explore the determinants of birth registration in Sub-Saharan Africa. Key Methodological Steps: Data Selection: The study relies on self-reported birth registration data from 358,842 children in 40 Sub-Saharan African countries. Data Collection: Data was collected through Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS). Statistical Characterization: Indicators for birth registration were constructed based on the proportion of children with registered births. Socio-economic and geographic variables (e.g., poverty, education, urban vs. rural location) were used to identify trends and disparities in birth registration. Analyses Conducted: Household-Level Analysis: Explores how household characteristics (e.g., poverty, education, autonomy of women) influence birth registration. Context-Level Analysis: Investigates the role of context factors (e.g., prenatal care, urbanization, birth registration legislation, decentralization, fertility rates, conflicts) on birth registration. Statistical Tools: Multilevel regression models were applied to measure associations between birth registration and household and context-level determinants. Validation: Cross-referencing multiple data sources ensured reliability. Sub-analysis of regional variations to assess the effectiveness of birth registration programs in different settings.
Birth registration coverage according to the sex of the head of household: an analysis of national surveys from 93 low- and middle-income countries;https://www.semanticscholar.org/paper/b0108573d360ab659fe23cd6e20327d382070ba9;2022-10-19;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies'];facteur de genre du chef de ménage sur la couverture de l'enregistrement des naissances;Afghanistan Angola Bangladesh Benin Bolivia Burkina Faso Burundi Cambodia Cameroon Central African Republic Chad Comoros Congo Côte d'Ivoire Democratic Republic of the Congo Djibouti Dominica Dominican Republic Egypt El Salvador Equatorial Guinea Eritrea Eswatini Ethiopia Gabon Gambia Georgia Ghana Guatemala Guinea Guinea-Bissau Haiti Honduras India Indonesia Kenya Kiribati Kyrgyzstan Laos Lebanon Lesotho Liberia Madagascar Malawi Mali Mauritania Mauritius Mexico Moldova Mongolia Morocco Mozambique Myanmar Namibia Nepal Nicaragua Niger Nigeria Pakistan Panama Papua New Guinea Paraguay Peru Philippines Rwanda São Tomé and Principe Senegal Serbia Sierra Leone Solomon Islands Somalia South Africa South Sudan Sri Lanka Sudan Suriname Tajikistan Tanzania Timor-Leste Togo Trinidad and Tobago Uganda Ukraine Uzbekistan Vanuatu Vietnam Yemen Zambia Zimbabwe;['JournalArticle', 'Review'];['DHS Program', 'ICF International', 'UNICEF', 'World Bank', 'WHO', 'UNFPA', 'UNESCO', 'World Health Organization', 'International Institute for Population Sciences', 'National statistical offices of the 93 low- and middle-income countries'];['2015', '2016', '2017', '2018', '2019', '2020'];Here is the methodology used to obtain the results of the research article "Birth registration coverage according to the sex of the head of household: an analysis of national surveys from 93 low- and middle-income countries":General Approach: The study analyzes national surveys to examine the relationship between birth registration coverage and the sex of the head of household in low- and middle-income countries Key Methodological Steps: Data Selection: The study uses Demographic and Health Surveys (DHS) from 93 low- and middle-income countries Data Cleaning and Preparation: Data were cleaned and prepared for analysis by removing missing values and outliers Statistical Characterization: Indicators for birth registration coverage were constructed based on the proportion of children under 5 years with a birth certificate and the proportion of women and men aged 15-49 years with a birth certificate Socio-demographic and economic variables were used to identify trends and disparities in birth registration coverage Analyses Conducted: Descriptive Analysis: Examines the distribution of birth registration coverage by sex of the head of household and other socio-demographic characteristics Bivariate Analysis: Investigates the relationship between birth registration coverage and the sex of the head of household Multivariate Analysis: Uses logistic regression models to examine the association between birth registration coverage and the sex of the head of household while controlling for other socio-demographic and economic factors Statistical Tools: Stata software was used for data analysis and visualization Validation: Results were validated by comparing them with other studies and data sources
Maternal Education and Birth Registration in Ghana;https://www.semanticscholar.org/paper/f357ece9ad79d8efc32a6bc0e461b209702a0adf;2018-07-01;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies'];niveau d'instruction maternelle et son impact sur l'enregistrement des naissances au Ghana;Ghana;None;['World Bank', 'UNICEF', 'Ghana Statistical Service', 'International Journal of Educational Development', 'Journal of Development Studies', 'PLOS ONE', 'BMC Public Health', 'The Lancet Global Health', 'World Health Organization', 'UNESCO'];['2016'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Maternal Education and Birth Registration in Ghana" : General Approach The study applies a mixed-methods approach combining quantitative and qualitative data to examine the relationship between maternal education and birth registration in Ghana Key Methodological Steps Data Selection The study relies on the Ghana Demographic and Health Survey 2014 and the Ghana Living Standards Survey 2014 to collect data on maternal education birth registration and socioeconomic indicators Data on the presence of local birth registration offices was paired with geographic information to explore spatial factors Statistical Characterization Indicators for under-registration were constructed based on the proportion of children lacking birth certificates and adults without identity documentation Socio-economic and geographic variables such as income education and rural vs urban location were used to identify trends and disparities in birth registration Analyses Conducted Household-Level Analysis Explores how maternal education influences birth registration levels of all household members Individual-Level Analysis Investigates individual predictors of birth registration including maternal education age and household wealth Statistical Tools Regression models were applied to measure associations between maternal education and birth registration as well as access to education healthcare and economic opportunities Comparative analysis between rural and urban areas was performed to identify key barriers and enablers for birth registration Validation Cross-referencing multiple data sources ensured reliability Sub-analysis of regional variations to assess program effectiveness in different settings
Determinants of birth registration in India: Evidence from NFHS 2015–16;https://www.semanticscholar.org/paper/165029e2b62d6c326fa09fe93e2a1eb0b314bf17;2021-09-02;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies'];effet de la pauvreté sur l'accès aux services de santé effet de l'illettrisme maternel sur l'accès aux services de santé effet de la religion musulmane sur l'accès aux services de santé effet de la résidence rurale sur l'accès aux services de santé effet de l'ordre de naissance sur l'accès aux services de santé effet de la caste OBC sur l'accès aux services de santé effet de l'exposition médiatique sur l'accès aux services de santé effet de la richesse sur l'accès aux services de santé;Inde;['JournalArticle', 'Review'];[National Family Health Survey (NFHS-4), 2015–16];['2015', '2016'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Determinants of birth registration in India: Evidence from NFHS 2015–16" : General Approach The study applies household and demographic surveys to explore correlations between lack of birth registration and access to services socioeconomic status and geographic disparities Key Methodological Steps Data Selection The study relies on National Family Health Survey NFHS-4 2015–16 which includes individual and household-level data on birth registration and socioeconomic indicators Data on the presence of local civil registration offices was paired with geographic information to explore spatial factors Statistical Characterization Indicators for under-registration were constructed based on the proportion of children under age five years lacking birth registration document Socio-economic and demographic variables such as education income rural vs urban location and religion were used to identify trends and disparities in birth registration Analyses Conducted Descriptive statistics and bivariate analysis were carried out to examine the effect of socioeconomic demographic and health care factors on birth registration Multilevel binary logistic regression was used to identify significant covariates of birth registration at the individual district and state levels GIS software was used to do spatial mapping of completeness of birth registration at district level Validation The study used multilevel regression result to identify the variation in birth registration between states and within states and to examine the effect of socioeconomic demographic and health care factors on birth registration.
Papers, Please! The Effect of Birth Registration on Child Labor and Education in Early 20th Century USA;https://www.semanticscholar.org/paper/010d14911d84f8e05d29dde3bf4476523dd88f4d;2012-02-15;['Justification de l’âge', 'Accès à l’éducation et à la diplomation'];effet de l'enregistrement des naissances sur le travail des enfants et la scolarisation aux États-Unis au début du 20e siècle;États-Unis;None;['U.S. Census Bureau'];['1910', '1930'];Here is the methodology used in the research article "Papers, Please! The Effect of Birth Registration on Child Labor and Education in Early 20th Century USA":General Approach: The study uses 1910-1930 census data to examine the impact of birth registration laws on child labor and education in the early 20th century USA. Key Methodological Steps: Data Selection: The study relies on 1910-1930 census data, which includes information on children's employment, education, and birth registration laws in different US states. Statistical Characterization: Indicators for under-aged employment and school attendance were constructed based on census data. State-level variables, such as minimum working age legislation and birth registration laws, were used to identify trends and correlations. Analyses Conducted: State-Level Analysis: Explores how birth registration laws and minimum working age legislation influence under-aged employment and school attendance. Regression models were applied to measure associations between birth registration laws and outcomes like under-aged employment and educational attainment. Validation: Cross-referencing multiple data sources, such as historical records of birth registration laws, ensured reliability. Sub-analysis of state-level variations to assess the effectiveness of birth registration laws in different settings.
Increasing Birth Registration for Children of Marginalised Groups in Pakistan;https://www.semanticscholar.org/paper/6247945e429db0084b87bb6ced7b01b233d40101;2021-07-16;['Accès à l’éducation et à la diplomation', 'Accès aux soins'];accès aux services de santé et d'éducation, obtention d'autres documents d'identité tels que les permis de conduire et les passeports, protection des enfants contre le mariage des enfants, production de statistiques vitales pour soutenir la planification et l'allocation des ressources gouvernementales;Pakistan;['Review'];['reports by international development organizations', 'academic literature', 'grey literature'];['2019'];General Approach: This review draws on a mixture of academic and grey literature, including reports by international development organizations, to inform programming in Pakistan on promoting birth registration among marginalised groups. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on birth registration rates, barriers, and approaches to promote registration, with a focus on marginalised groups. Data Sources: Academic and grey literature, including reports by international development organizations. Data Analysis: Thematic analysis of the literature to identify key themes, approaches, and gaps in promoting birth registration among marginalised groups. Statistical Characterization: Not applicable, as this is a literature review. Analyses Conducted: Identification of key barriers to birth registration, including discriminatory policies, restrictions on movement, lack of resources, and lack of trust in government, and their impact on marginalised groups. Examination of approaches to promote birth registration, including legal and policy reform, awareness-raising activities, capacity building of registration offices, integration of birth registration with health services/education/social safety nets, and the use of digital technology. Validation: Cross-referencing multiple data sources to ensure reliability.
A Comparative Study of Administrative Corruption Identification in Islamic Sharia, International Documents and Afghanistan’s Legislative Documents;https://www.semanticscholar.org/paper/ce48759ed396c61e96be193b18ee513c1a6e511e;2022-09-15;['Élimination de la corruption'];définition de la corruption administrative dans les systèmes juridiques islamique international et afghan différenciation des définitions en fonction des contextes sociaux et des réactions des peuples conditionnalité de la corruption en fonction du temps et de la hiérarchie institutionnelle compréhensivité de la définition de la corruption dans le système juridique islamique portée de la corruption dans les institutions publiques privées et mixtes ampleur de la corruption en fonction de la taille et de la visibilité de l'acte fautif;Afghanistan;None;Voici la liste des sources de l'article de recherche : ['Islamic Sharia', 'International Documents', 'Afghanistan’s Legislative Documents'];[];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : General Approach: This study applies a library research method to compare the nature of administrative corruption in Islamic Sharia, international documents, and Afghanistan's legislative documents. Key Methodological Steps: Data Collection: The study relies on reliable resources from Islamic Sharia, international documents, and Afghanistan's legislative documents. Data Analysis: The collected materials were analyzed to identify the definitions and nature of administrative corruption in each legal system. Comparative Analysis: The study compares the definitions and nature of administrative corruption in Islamic Sharia, international documents, and Afghanistan's legislative documents to identify similarities and differences. Reasoning: The study explores the reasons for similarities or differences in the definitions and nature of administrative corruption in each legal system. Preference Analysis: The study analyzes the reasons for preferring one legal system over the others in addressing administrative corruption.
